Temperature,Initial Concentration,Time,A,B,I
60,200,25,1,160.478,38.522
60,200,30,0.347,152.83,46.823
60,200,35,0.12,145.163,54.717
70,200,0,200,0,0
70,200,1,153.454,46.226,0.32
70,200,2,117.741,81.085,1.175
70,200,3,90.339,107.231,2.43
70,200,5,53.183,141.053,5.764
70,200,10,14.142,169.522,16.336
70,200,15,3.761,168.632,27.607
70,200,20,1,160.478,38.522
70,200,25,0.266,150.899,48.835
70,200,30,0.071,141.417,58.513
70,200,35,0.019,132.404,67.577
