Temperature,Initial Concentration,Time,A,B,I
70,100,4.5,0.011,9.339,90.649
70,100,5,0.004,6.905,93.091
70,100,5.5,0.002,5.103,94.896
70,100,6,0.001,3.77,96.229
70,100,6.5,0,2.785,97.215
70,100,7,0,2.058,97.942
70,100,7.5,0,1.52,98.48
70,100,8,0,1.123,98.877
70,100,8.5,0,0.829,99.171
70,100,9,0,0.613,99.387
70,100,9.5,0,0.453,99.547
70,100,10,0,0.334,99.666
70,200,0,200,0,0
70,200,0.5,72.874,106.949,20.177
70,200,1,26.553,117.971,55.476
70,200,1.5,9.675,101.343,88.981
70,200,2,3.525,80.035,116.439
70,200,2.5,1.285,61.007,137.709
70,200,3,0.468,45.752,153.78
70,200,3.5,0.171,34.047,165.783
70,200,4,0.062,25.241,174.697
70,200,4.5,0.023,18.679,181.299
70,200,5,0.008,13.81,186.182
70,200,5.5,0.003,10.206,189.791
70,200,6,0.001,7.541,192.458
70,200,6.5,0,5.571,194.429
70,200,7,0,4.115,195.885
70,200,7.5,0,3.04,196.96
70,200,8,0,2.246,197.754
70,200,8.5,0,1.659,198.341
70,200,9,0,1.225,198.775
70,200,9.5,0,0.905,199.095
70,200,10,0,0.669,199.331
